player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Elijhaa Penny,0.5,1.7,0.0,0.2,0.9,0.0,0.0,0.3,NYG,RB,2,2021
Godwin Igwebuike,0.4,1.5,0.0,0.1,1.0,0.0,0.0,0.3,DET,RB,2,2021
Dwayne Washington,0.3,0.8,0.0,0.1,1.2,0.0,0.0,0.2,NO,RB,2,2021
Khari Blasingame,0.0,0.2,0.0,0.2,1.9,0.0,0.0,0.2,TEN,RB,2,2021
Cullen Gillaspia,0.3,1.3,0.0,0.1,0.9,0.0,0.0,0.2,NYG,RB,2,2021
Nick Bellore,0.3,0.9,0.0,0.1,1.0,0.0,0.0,0.2,SEA,RB,2,2021
Giovanni Ricci,0.0,0.0,0.0,0.2,2.0,0.0,0.0,0.2,CAR,RB,2,2021
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,BUF,RB,2,2021
Adrian Killins Jr.,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,DEN,RB,2,2021
Austin Walter,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,NYJ,RB,2,2021
Alfred Morris,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.1,NYG,RB,2,2021
Dontrell Hilliard,0.0,0.2,0.0,0.1,0.4,0.0,0.0,0.1,TEN,RB,2,2021
Antonio Williams,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,NYG,RB,2,2021
Jonathan Williams,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,WAS,RB,2,2021
Mike Boone,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,DEN,RB,2,2021
Jordan Howard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,RB,2,2021
Caleb Huntley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,RB,2,2021
Nate McCrary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,RB,2,2021
Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,RB,2,2021
Eno Benjamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,RB,2,2021
Gerrid Doaks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,RB,2,2021
Rashaad Penny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,RB,2,2021
La'Mical Perine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,RB,2,2021
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,RB,2,2021
Tarik Cohen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,RB,2,2021
Derrick Gore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,RB,2,2021
Joshua Kelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,RB,2,2021
Dexter Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,RB,2,2021
Duke Johnson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,RB,2,2021
Anthony McFarland Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,RB,2,2021
JaQuan Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,RB,2,2021
Ke'Shawn Vaughn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,RB,2,2021
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,RB,2,2021
Travis Etienne Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,RB,2,2021
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,RB,2,2021
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,RB,2,2021
Christian McCaffrey,19.7,88.9,0.9,5.9,50.2,0.2,0.2,19.8,CAR,RB,3,2021
Derrick Henry,23.5,107.2,0.9,2.3,18.4,0.1,0.2,18.2,TEN,RB,3,2021
Alvin Kamara,14.7,66.4,0.6,5.3,45.9,0.2,0.1,16.1,NO,RB,3,2021
Nick Chubb,17.5,87.1,0.9,1.8,14.7,0.1,0.1,15.6,CLE,RB,3,2021
Aaron Jones,15.0,72.1,0.7,3.8,31.4,0.2,0.1,15.5,GB,RB,3,2021
Jonathan Taylor,17.1,76.4,0.7,2.7,23.1,0.1,0.1,14.5,IND,RB,3,2021
Najee Harris,17.0,70.7,0.6,3.5,29.3,0.2,0.1,14.1,PIT,RB,3,2021
Austin Ekeler,12.9,57.3,0.5,5.3,42.8,0.2,0.1,14.1,LAC,RB,3,2021
Ezekiel Elliott,15.4,66.7,0.7,2.8,22.0,0.1,0.1,13.4,DAL,RB,3,2021
Joe Mixon,18.1,73.6,0.5,3.3,24.4,0.1,0.1,13.3,CIN,RB,3,2021
Chris Carson,15.1,68.7,0.6,2.7,21.1,0.1,0.1,13.2,SEA,RB,3,2021
Saquon Barkley,15.8,66.8,0.6,3.0,22.9,0.1,0.1,13.0,NYG,RB,3,2021
Antonio Gibson,17.0,72.4,0.6,2.7,19.6,0.1,0.1,12.9,WAS,RB,3,2021
David Montgomery,17.3,70.4,0.5,2.8,21.3,0.1,0.1,12.8,CHI,RB,3,2021
D'Andre Swift,10.2,43.6,0.3,4.8,40.9,0.3,0.1,12.0,DET,RB,3,2021
Damien Harris,17.9,75.2,0.6,1.0,8.3,0.0,0.1,11.9,NE,RB,3,2021
Miles Sanders,13.1,60.1,0.5,2.8,23.6,0.1,0.1,11.6,PHI,RB,3,2021
Alexander Mattison,15.3,66.1,0.5,2.0,17.7,0.1,0.1,11.4,MIN,RB,3,2021
Elijah Mitchell,14.0,59.0,0.7,1.0,12.0,0.0,0.0,11.3,SF,RB,3,2021
Clyde Edwards-Helaire,14.8,62.2,0.4,2.6,20.7,0.1,0.1,10.8,KC,RB,3,2021
James Robinson,13.2,56.8,0.3,3.4,25.1,0.1,0.1,10.6,JAC,RB,3,2021
Ty'Son Williams,11.7,53.4,0.5,2.0,16.2,0.1,0.1,10.3,BAL,RB,3,2021
Dalvin Cook,11.0,51.0,0.4,2.0,19.5,0.1,0.0,10.1,MIN,RB,3,2021
Melvin Gordon III,12.1,53.4,0.4,2.2,15.8,0.1,0.1,9.7,DEN,RB,3,2021
Trey Sermon,12.4,57.4,0.4,1.6,13.6,0.1,0.1,9.6,SF,RB,3,2021
Kenyan Drake,10.7,44.4,0.3,3.5,25.6,0.1,0.1,9.5,LV,RB,3,2021
Myles Gaskin,10.7,47.1,0.3,3.4,26.5,0.1,0.1,9.4,MIA,RB,3,2021
Chase Edmonds,10.3,43.9,0.2,3.5,28.7,0.2,0.1,9.4,ARI,RB,3,2021
Mike Davis,12.3,47.8,0.3,3.8,24.6,0.1,0.1,9.3,ATL,RB,3,2021
Sony Michel,14.3,58.7,0.3,1.5,13.0,0.1,0.1,9.3,LAR,RB,3,2021
Kareem Hunt,9.5,41.3,0.4,2.4,21.2,0.1,0.1,9.2,CLE,RB,3,2021
Devin Singletary,12.4,52.0,0.4,2.0,14.8,0.1,0.1,9.0,BUF,RB,3,2021
Leonard Fournette,11.2,44.0,0.3,3.3,22.9,0.1,0.1,8.9,TB,RB,3,2021
Javonte Williams,12.1,49.3,0.4,1.4,10.9,0.1,0.1,8.7,DEN,RB,3,2021
James Conner,11.9,48.1,0.3,1.0,7.3,0.0,0.1,7.2,ARI,RB,3,2021
Mark Ingram II,11.5,47.8,0.3,0.9,6.7,0.0,0.1,7.2,NO,RB,3,2021
James White,4.4,17.2,0.2,4.3,34.2,0.2,0.1,6.9,NE,RB,3,2021
Jamaal Williams,8.7,33.5,0.2,2.8,20.2,0.1,0.1,6.7,DET,RB,3,2021
Tevin Coleman,11.0,42.0,0.3,1.0,7.0,0.0,0.0,6.7,NYJ,RB,3,2021
Tony Pollard,7.0,32.5,0.2,2.0,16.3,0.1,0.1,6.4,DAL,RB,3,2021
Nyheim Hines,4.8,19.6,0.1,3.5,27.7,0.1,0.1,6.3,IND,RB,3,2021
Cordarrelle Patterson,7.3,30.8,0.2,1.6,14.7,0.1,0.1,6.2,ATL,RB,3,2021
Michael Carter,9.5,36.4,0.2,1.6,12.9,0.0,0.1,6.0,NYJ,RB,3,2021
Ronald Jones II,8.8,34.9,0.3,0.8,5.6,0.0,0.1,5.7,TB,RB,3,2021
Darrell Henderson Jr.,9.0,36.0,0.3,0.5,5.5,0.0,0.0,5.7,LAR,RB,3,2021
Latavius Murray,8.2,34.3,0.2,0.8,6.1,0.0,0.1,5.6,BAL,RB,3,2021
Ty Johnson,7.9,35.2,0.1,1.4,10.3,0.0,0.1,5.5,NYJ,RB,3,2021
Peyton Barber,10.7,36.6,0.3,0.4,2.9,0.0,0.1,5.5,LV,RB,3,2021
Kenneth Gainwell,6.1,24.8,0.2,1.6,14.5,0.1,0.0,5.4,PHI,RB,3,2021
J.D. McKissic,3.9,15.7,0.1,3.5,25.9,0.1,0.1,5.0,WAS,RB,3,2021
David Johnson,4.9,19.3,0.1,2.3,18.3,0.1,0.0,4.8,HOU,RB,3,2021
AJ Dillon,6.5,28.3,0.2,0.9,7.5,0.0,0.0,4.7,GB,RB,3,2021
Zack Moss,6.3,26.2,0.2,0.7,5.7,0.0,0.1,4.4,BUF,RB,3,2021
Damien Williams,3.9,16.4,0.1,2.0,14.6,0.1,0.0,4.1,CHI,RB,3,2021
Tony Jones Jr.,5.8,23.5,0.1,0.9,7.6,0.0,0.0,4.0,NO,RB,3,2021
Carlos Hyde,6.0,24.1,0.1,1.0,7.4,0.0,0.0,3.8,JAC,RB,3,2021
Ameer Abdullah,5.2,19.9,0.1,1.0,8.0,0.1,0.1,3.6,CAR,RB,3,2021
Salvon Ahmed,4.5,19.1,0.1,1.0,8.1,0.0,0.0,3.5,MIA,RB,3,2021
Justin Jackson,3.8,18.4,0.1,1.0,7.1,0.1,0.0,3.5,LAC,RB,3,2021
Phillip Lindsay,5.2,22.3,0.1,0.8,5.2,0.0,0.0,3.4,MIA,RB,3,2021
Malcolm Brown,5.6,21.1,0.2,0.5,3.4,0.0,0.0,3.4,MIA,RB,3,2021
Darrel Williams,3.9,15.0,0.1,0.9,7.6,0.0,0.0,3.3,KC,RB,3,2021
Devontae Booker,6.5,24.5,0.0,1.0,6.0,0.0,0.0,3.1,NYG,RB,3,2021
Trenton Cannon,4.5,12.9,0.1,0.9,7.7,0.1,0.1,2.9,SF,RB,3,2021
Larry Rountree III,4.1,16.7,0.1,0.6,5.1,0.0,0.0,2.8,LAC,RB,3,2021
Jake Funk,3.2,11.8,0.1,1.1,9.0,0.1,0.0,2.8,LAR,RB,3,2021
Devonta Freeman,2.8,11.7,0.1,0.7,5.3,0.1,0.0,2.5,BAL,RB,3,2021
Giovani Bernard,1.3,5.5,0.0,1.7,12.3,0.1,0.0,2.4,TB,RB,3,2021
Kyle Juszczyk,0.8,3.2,0.0,1.4,12.9,0.1,0.0,2.3,SF,RB,3,2021
Chuba Hubbard,3.0,11.3,0.1,0.7,5.5,0.0,0.0,2.3,CAR,RB,3,2021
Samaje Perine,2.8,12.0,0.1,0.8,5.7,0.0,0.0,2.3,CIN,RB,3,2021
Travis Homer,2.1,8.3,0.0,1.0,8.2,0.0,0.0,2.0,SEA,RB,3,2021
Gary Brightwell,2.2,9.1,0.1,0.6,5.2,0.0,0.0,2.0,NYG,RB,3,2021
Ty Montgomery,1.0,6.5,0.0,1.0,9.3,0.0,0.0,2.0,NO,RB,3,2021
Josh Adams,1.5,11.1,0.1,0.6,4.1,0.0,0.0,1.9,NO,RB,3,2021
DeeJay Dallas,1.8,7.4,0.0,0.7,5.4,0.0,0.0,1.8,SEA,RB,3,2021
Benny Snell Jr.,3.0,11.6,0.1,0.3,2.0,0.0,0.0,1.7,PIT,RB,3,2021
Demetric Felton,1.4,5.0,0.0,0.6,6.6,0.1,0.0,1.7,CLE,RB,3,2021
Alex Collins,1.8,9.5,0.1,0.3,2.9,0.0,0.0,1.6,SEA,RB,3,2021
J.J. Taylor,2.1,9.4,0.1,0.3,2.0,0.0,0.0,1.6,NE,RB,3,2021
C.J. Ham,1.0,3.3,0.0,0.9,7.7,0.1,0.0,1.6,MIN,RB,3,2021
Matt Breida,3.0,12.0,0.0,0.5,3.5,0.0,0.0,1.6,BUF,RB,3,2021
Wayne Gallman Jr.,2.0,9.0,0.1,0.0,0.0,0.0,0.0,1.5,MIN,RB,3,2021
Buddy Howell,1.0,7.1,0.1,0.4,3.6,0.0,0.0,1.5,LAR,RB,3,2021
Keith Smith,1.3,5.1,0.0,0.9,6.5,0.0,0.0,1.4,ATL,RB,3,2021
Rex Burkhead,0.8,4.3,0.0,0.6,5.1,0.0,0.0,1.3,HOU,RB,3,2021
Kylin Hill,1.8,9.2,0.0,0.2,1.7,0.0,0.0,1.2,GB,RB,3,2021
Patrick Ricard,0.2,0.4,0.0,1.0,7.8,0.1,0.0,1.2,BAL,RB,3,2021
Brandon Bolden,0.9,4.1,0.1,0.3,3.3,0.0,0.0,1.2,NE,RB,3,2021
Alec Ingold,0.4,1.2,0.0,0.8,7.0,0.0,0.0,1.1,LV,RB,3,2021
Kalen Ballage,1.1,5.6,0.0,0.4,2.2,0.0,0.0,1.1,PIT,RB,3,2021
Jerick McKinnon,1.0,4.1,0.0,0.5,4.0,0.0,0.0,1.0,KC,RB,3,2021
Trey Ragas,1.3,5.4,0.0,0.3,2.0,0.0,0.0,0.9,LV,RB,3,2021
Rhamondre Stevenson,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.9,NE,RB,3,2021
Chris Evans,0.9,3.7,0.0,0.3,2.5,0.0,0.0,0.9,CIN,RB,3,2021
Jaret Patterson,0.9,4.5,0.0,0.2,1.6,0.0,0.0,0.8,WAS,RB,3,2021
La'Mical Perine,1.3,5.2,0.0,0.1,0.9,0.0,0.0,0.8,NYJ,RB,3,2021
Dare Ogunbowale,0.4,3.7,0.0,0.2,2.4,0.0,0.0,0.8,JAC,RB,3,2021
Marlon Mack,2.0,7.5,0.0,0.0,0.0,0.0,0.0,0.8,IND,RB,3,2021
Boston Scott,0.6,3.3,0.0,0.2,1.9,0.0,0.0,0.7,PHI,RB,3,2021
Andy Janovich,0.6,1.2,0.0,0.3,3.1,0.0,0.0,0.7,CLE,RB,3,2021
Damarea Crockett,0.5,3.7,0.0,0.2,1.5,0.0,0.0,0.7,DEN,RB,3,2021
Royce Freeman,0.7,3.7,0.0,0.2,1.0,0.0,0.0,0.6,HOU,RB,3,2021
Elijhaa Penny,0.7,3.5,0.0,0.2,1.2,0.0,0.0,0.6,NYG,RB,3,2021
Godwin Igwebuike,0.3,2.2,0.0,0.2,2.0,0.0,0.0,0.5,DET,RB,3,2021
Mekhi Sargent,0.6,3.1,0.0,0.1,1.1,0.0,0.0,0.5,JAC,RB,3,2021
Alex Armah Jr.,0.5,1.5,0.0,0.3,2.8,0.0,0.0,0.5,WAS,RB,3,2021
Michael Burton,0.4,1.5,0.0,0.3,2.5,0.0,0.0,0.5,KC,RB,3,2021
Scottie Phillips,0.1,2.2,0.0,0.1,1.3,0.0,0.0,0.5,HOU,RB,3,2021
Gabe Nabers,0.7,2.0,0.0,0.2,1.2,0.0,0.0,0.5,LAC,RB,3,2021
Corey Clement,0.6,2.6,0.0,0.1,1.0,0.0,0.0,0.5,DAL,RB,3,2021
Derek Watt,0.4,1.2,0.0,0.1,1.2,0.0,0.0,0.4,PIT,RB,3,2021
Khalil Herbert,0.7,2.6,0.0,0.2,1.3,0.0,0.0,0.4,CHI,RB,3,2021
Taiwan Jones,0.5,1.9,0.0,0.1,1.6,0.0,0.0,0.4,BUF,RB,3,2021
Jason Cabinda,0.9,2.4,0.0,0.1,1.3,0.0,0.0,0.4,DET,RB,3,2021
Jakob Johnson,0.0,0.1,0.0,0.2,1.2,0.0,0.0,0.3,NE,RB,3,2021
Giovanni Ricci,0.0,0.0,0.0,0.2,3.0,0.0,0.0,0.3,CAR,RB,3,2021
Cullen Gillaspia,0.4,1.1,0.0,0.2,1.3,0.0,0.0,0.3,NYG,RB,3,2021
Dwayne Washington,0.2,0.6,0.0,0.2,1.7,0.0,0.0,0.3,NO,RB,3,2021
D'Ernest Johnson,0.3,0.8,0.0,0.1,1.3,0.0,0.0,0.2,CLE,RB,3,2021
Nick Bellore,0.3,0.6,0.0,0.1,1.0,0.0,0.0,0.2,SEA,RB,3,2021
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,BUF,RB,3,2021
Andrew Beck,0.1,0.3,0.0,0.1,0.3,0.0,0.0,0.1,DEN,RB,3,2021
Trey Edmunds,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,PIT,RB,3,2021
Jonathan Williams,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,WAS,RB,3,2021
Mike Boone,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,DEN,RB,3,2021
Ke'Shawn Vaughn,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,TB,RB,3,2021
Joshua Kelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,RB,3,2021
Josh Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,RB,3,2021
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,RB,3,2021
Caleb Huntley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,RB,3,2021
Rashaad Penny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,RB,3,2021
Eno Benjamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,RB,3,2021
Antonio Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,RB,3,2021
Derrick Gore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,RB,3,2021
Nate McCrary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,RB,3,2021
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,RB,3,2021
Duke Johnson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,RB,3,2021
Dexter Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,RB,3,2021
Gerrid Doaks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,RB,3,2021
Darrynton Evans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEN,RB,3,2021
Anthony McFarland Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,RB,3,2021
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,RB,3,2021
Tarik Cohen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,RB,3,2021
Travis Etienne Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JAC,RB,3,2021
JaMycal Hasty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,RB,3,2021
Jordan Howard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,RB,3,2021
Trayveon Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,RB,3,2021
JaQuan Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,RB,3,2021
Derrick Henry,25.7,114.6,0.9,2.7,24.1,0.1,0.2,19.3,TEN,RB,4,2021
Alvin Kamara,16.7,75.2,0.8,5.1,45.2,0.3,0.1,18.0,NO,RB,4,2021
Joe Mixon,21.2,89.4,0.7,3.1,23.2,0.1,0.1,16.3,CIN,RB,4,2021
Dalvin Cook,18.1,81.5,0.7,3.4,29.1,0.1,0.1,16.0,MIN,RB,4,2021
Austin Ekeler,13.0,59.1,0.5,5.3,44.9,0.3,0.1,15.1,LAC,RB,4,2021
Aaron Jones,15.7,71.8,0.7,3.4,27.3,0.2,0.1,14.9,GB,RB,4,2021
Nick Chubb,16.3,82.2,0.7,1.9,14.5,0.1,0.1,14.3,CLE,RB,4,2021
David Montgomery,17.3,70.8,0.6,2.9,24.6,0.1,0.1,13.7,CHI,RB,4,2021
Antonio Gibson,17.0,71.3,0.6,2.2,19.7,0.1,0.1,13.1,WAS,RB,4,2021
Jonathan Taylor,16.2,72.2,0.6,2.5,21.1,0.1,0.1,13.1,IND,RB,4,2021
Ezekiel Elliott,15.8,65.6,0.6,2.6,20.1,0.1,0.1,12.7,DAL,RB,4,2021
Najee Harris,15.0,59.2,0.3,5.0,40.8,0.2,0.1,12.7,PIT,RB,4,2021
Chris Carson,15.5,68.1,0.6,2.4,17.7,0.1,0.1,12.7,SEA,RB,4,2021
Saquon Barkley,15.8,62.1,0.5,3.8,28.5,0.1,0.1,12.6,NYG,RB,4,2021
D'Andre Swift,12.4,49.4,0.4,4.8,41.3,0.2,0.1,12.6,DET,RB,4,2021
Miles Sanders,12.7,61.2,0.5,2.7,23.6,0.1,0.1,12.1,PHI,RB,4,2021
James Robinson,15.5,65.5,0.3,3.8,28.0,0.1,0.1,11.8,JAC,RB,4,2021
Trey Sermon,14.0,58.1,0.7,1.5,13.7,0.1,0.1,11.4,SF,RB,4,2021
Clyde Edwards-Helaire,15.3,63.2,0.4,2.2,17.8,0.1,0.1,10.6,KC,RB,4,2021
Melvin Gordon III,12.4,53.2,0.5,2.3,16.7,0.1,0.1,10.5,DEN,RB,4,2021
Chuba Hubbard,14.0,54.3,0.4,3.1,24.2,0.1,0.1,10.3,CAR,RB,4,2021
Elijah Mitchell,11.0,50.0,0.6,1.0,10.0,0.1,0.0,10.2,SF,RB,4,2021
Zack Moss,11.8,49.5,0.6,1.4,11.1,0.1,0.1,9.9,BUF,RB,4,2021
Leonard Fournette,11.7,46.8,0.3,3.7,25.8,0.1,0.1,9.7,TB,RB,4,2021
Myles Gaskin,11.9,51.1,0.3,3.3,24.9,0.1,0.1,9.6,MIA,RB,4,2021
Darrell Henderson Jr.,12.5,54.9,0.4,1.7,14.9,0.1,0.1,9.6,LAR,RB,4,2021
Kareem Hunt,9.0,39.9,0.3,3.1,25.3,0.2,0.1,9.3,CLE,RB,4,2021
Mike Davis,13.0,50.2,0.3,3.7,23.2,0.1,0.1,9.3,ATL,RB,4,2021
Damien Harris,14.0,59.3,0.4,1.2,9.3,0.0,0.1,9.1,NE,RB,4,2021
Chase Edmonds,9.0,36.6,0.2,4.3,33.0,0.2,0.1,9.0,ARI,RB,4,2021
Cordarrelle Patterson,7.9,33.4,0.2,2.9,26.0,0.1,0.1,8.1,ATL,RB,4,2021
Devin Singletary,10.5,47.8,0.3,1.9,14.0,0.1,0.1,8.0,BUF,RB,4,2021
Michael Carter,10.4,45.2,0.3,1.8,15.6,0.1,0.1,7.9,NYJ,RB,4,2021
Kenyan Drake,7.6,32.6,0.2,3.4,25.5,0.1,0.1,7.6,LV,RB,4,2021
Ty'Son Williams,12.0,50.0,0.3,2.5,11.0,0.0,0.0,7.6,BAL,RB,4,2021
Jamaal Williams,9.9,38.3,0.2,2.8,20.7,0.1,0.1,7.3,DET,RB,4,2021
Nyheim Hines,6.3,25.4,0.2,3.7,30.3,0.1,0.1,7.3,IND,RB,4,2021
Sony Michel,9.2,39.2,0.4,1.0,7.9,0.1,0.1,7.2,LAR,RB,4,2021
Javonte Williams,10.4,41.0,0.2,1.8,14.6,0.1,0.1,7.2,DEN,RB,4,2021
Tony Pollard,7.8,36.1,0.2,2.2,16.6,0.1,0.1,7.1,DAL,RB,4,2021
Josh Jacobs,8.2,38.2,0.3,1.1,8.7,0.0,0.1,6.7,LV,RB,4,2021
James Conner,9.5,38.3,0.3,0.8,5.6,0.0,0.1,6.2,ARI,RB,4,2021
Latavius Murray,9.7,40.5,0.3,0.7,5.0,0.0,0.1,6.2,BAL,RB,4,2021
Ronald Jones II,8.7,37.2,0.3,0.7,5.6,0.0,0.1,5.8,TB,RB,4,2021
Peyton Barber,9.9,35.8,0.2,0.6,4.5,0.0,0.1,5.4,LV,RB,4,2021
J.D. McKissic,4.2,17.4,0.1,3.2,24.4,0.1,0.0,5.4,WAS,RB,4,2021
Mark Ingram II,8.9,37.6,0.2,0.7,5.2,0.0,0.1,5.3,NO,RB,4,2021
Ty Johnson,6.8,28.4,0.1,1.6,12.5,0.1,0.1,5.2,NYJ,RB,4,2021
Kenneth Gainwell,4.9,21.1,0.1,2.0,17.7,0.1,0.0,5.1,PHI,RB,4,2021
Kyle Juszczyk,2.6,9.1,0.1,2.2,21.7,0.2,0.0,4.5,SF,RB,4,2021
David Johnson,4.1,17.0,0.1,2.2,18.3,0.1,0.0,4.3,HOU,RB,4,2021
AJ Dillon,6.4,27.1,0.1,0.9,7.4,0.0,0.0,4.2,GB,RB,4,2021
Brandon Bolden,3.6,13.2,0.2,1.8,15.8,0.0,0.0,4.1,NE,RB,4,2021
Tony Jones Jr.,4.9,20.9,0.1,1.0,9.2,0.0,0.0,4.1,NO,RB,4,2021
Darrel Williams,4.8,18.5,0.2,1.0,7.6,0.1,0.0,4.0,KC,RB,4,2021
Alexander Mattison,5.4,22.3,0.1,1.0,8.5,0.0,0.0,4.0,MIN,RB,4,2021
Malcolm Brown,6.4,24.0,0.2,0.4,3.1,0.0,0.1,3.8,MIA,RB,4,2021
Damien Williams,3.4,14.2,0.1,1.7,13.3,0.1,0.0,3.7,CHI,RB,4,2021
Royce Freeman,5.5,19.5,0.1,1.3,8.2,0.0,0.0,3.7,HOU,RB,4,2021
Phillip Lindsay,5.2,21.9,0.1,0.8,6.2,0.0,0.0,3.6,MIA,RB,4,2021
J.J. Taylor,3.1,13.0,0.1,1.6,11.1,0.1,0.0,3.3,NE,RB,4,2021
Justin Jackson,3.9,17.9,0.1,0.8,6.2,0.0,0.0,3.1,LAC,RB,4,2021
Carlos Hyde,5.0,18.0,0.1,1.0,5.0,0.0,0.0,2.9,JAC,RB,4,2021
Rhamondre Stevenson,3.1,11.9,0.2,1.0,7.0,0.0,0.0,2.9,NE,RB,4,2021
Larry Rountree III,4.0,16.6,0.1,0.7,5.2,0.0,0.0,2.8,LAC,RB,4,2021
Salvon Ahmed,3.7,14.8,0.1,0.8,6.2,0.0,0.0,2.8,MIA,RB,4,2021
Tevin Coleman,4.1,16.1,0.1,0.4,3.0,0.0,0.0,2.6,NYJ,RB,4,2021
Samaje Perine,2.7,11.7,0.1,0.8,5.7,0.0,0.0,2.4,CIN,RB,4,2021
Devonta Freeman,3.0,12.7,0.0,0.6,4.3,0.0,0.0,2.2,BAL,RB,4,2021
Trenton Cannon,2.5,8.3,0.1,0.8,6.7,0.0,0.0,2.1,SF,RB,4,2021
Alex Collins,2.5,11.5,0.1,0.4,3.6,0.0,0.0,2.1,SEA,RB,4,2021
Buddy Howell,0.0,12.6,0.1,0.4,2.9,0.0,0.0,2.1,LAR,RB,4,2021
Travis Homer,1.5,6.6,0.0,1.1,9.6,0.0,0.0,1.9,SEA,RB,4,2021
Dare Ogunbowale,2.6,10.5,0.1,0.7,5.4,0.0,0.1,1.9,JAC,RB,4,2021
Demetric Felton,1.3,5.1,0.0,0.8,8.5,0.1,0.0,1.8,CLE,RB,4,2021
Ty Montgomery,2.0,7.1,0.0,0.8,7.7,0.0,0.0,1.8,NO,RB,4,2021
Chris Evans,0.8,4.1,0.0,0.7,5.6,0.0,0.0,1.3,CIN,RB,4,2021
Gary Brightwell,2.2,6.4,0.1,0.4,3.2,0.0,0.0,1.3,NYG,RB,4,2021
Jake Funk,1.0,5.2,0.0,0.4,3.7,0.0,0.0,1.3,LAR,RB,4,2021
