,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Greg Zuerlein(DAL),38,40,95.0,56,1,8,11,12,6,44,46,14,182.0,13.0,74.2%
1,2,Stephen Gostkowski(FA),37,40,92.5,62,0,16,9,8,4,45,47,16,172.0,10.8,0.1%
2,3,Robbie Gould(SF),39,41,95.1,52,0,7,11,17,4,28,30,16,170.0,10.6,22.5%
3,4,Matt Bryant(FA),34,39,87.2,57,1,6,10,9,8,35,35,16,162.0,10.1,1.1%
4,5,Justin Tucker(BAL),34,37,91.9,57,0,7,11,11,5,39,39,16,162.0,10.1,98.0%
5,6,Wil Lutz(NO),31,36,86.1,53,0,10,4,13,4,47,50,16,161.0,10.1,3.3%
6,7,Harrison Butker(KC),38,42,90.5,53,0,8,16,10,4,28,28,13,160.0,12.3,76.6%
7,8,Chris Boswell(PIT),35,38,92.1,53,0,10,12,9,4,37,39,16,159.0,9.9,51.0%
8,9,Ryan Succop(TB),35,42,83.3,52,0,10,7,16,2,31,33,16,156.0,9.8,57.4%
9,10,Matt Prater(ARI),30,35,85.7,58,2,4,10,7,7,40,41,16,151.0,9.4,52.8%
10,11,Kai Forbath(LAR),32,38,84.2,53,0,8,12,6,6,34,39,16,148.0,9.3,3.0%
11,12,Jake Elliott(PHI),26,31,83.9,61,0,5,4,12,5,39,42,15,139.0,9.3,22.5%
12,13,Stephen Hauschka(FA),29,33,87.9,56,0,6,9,7,7,29,29,16,137.0,8.6,0.0%
13,14,Phil Dawson(FA),32,40,80.0,57,1,7,10,10,4,23,26,16,137.0,8.6,0.1%
14,15,Graham Gano(NYG),29,30,96.7,48,0,8,11,10,0,34,37,16,131.0,8.2,31.4%
15,16,Adam Vinatieri(FA),29,34,85.3,54,0,11,7,6,5,22,24,15,125.0,8.3,0.2%
16,17,Chandler Catanzaro(FA),25,30,83.3,57,1,6,4,12,2,29,29,16,120.0,7.5,0.0%
17,18,Brandon McManus(DEN),24,32,75.0,53,0,6,11,4,3,27,27,16,109.0,6.8,44.3%
18,19,Blair Walsh(FA),21,29,72.4,49,0,6,7,8,0,37,38,16,108.0,6.8,0.1%
19,20,Ka'imi Fairbairn(HOU),20,25,80.0,55,0,3,8,6,3,32,35,16,104.0,6.5,0.8%
20,21,Cody Parkey(FA),21,23,91.3,54,0,6,8,6,1,26,29,16,97.0,6.1,0.4%
21,22,Randy Bullock(TEN),18,20,90.0,51,0,6,7,4,1,31,33,15,91.0,6.1,10.8%
22,23,Giorgio Tavecchio(TEN),16,21,76.2,53,0,5,5,3,3,33,34,16,90.0,5.6,1.0%
23,24,Josh Lambo(FA),19,20,95.0,56,0,2,11,4,2,22,24,10,87.0,8.7,3.2%
24,25,Patrick Murray(FA),19,23,82.6,50,0,5,8,4,2,21,22,12,86.0,7.2,1.0%
25,26,Mason Crosby(GB),15,19,78.9,50,0,8,2,4,1,33,35,16,84.0,5.3,40.7%
26,27,Aldrick Rosas(FA),18,25,72.0,52,0,8,3,4,3,20,23,16,84.0,5.3,1.8%
27,28,Dan Bailey(FA),15,20,75.0,56,1,3,4,4,3,26,28,12,81.0,6.8,0.0%
28,29,Zane Gonzalez(CAR),15,20,75.0,54,0,5,4,4,2,25,26,16,78.0,4.9,2.6%
29,30,Dustin Hopkins(LAC),14,17,82.4,49,1,7,2,4,0,18,19,8,64.0,8.0,14.5%
30,31,Nick Rose(FA),11,14,78.6,55,0,6,3,1,1,23,26,10,59.0,5.9,0.0%
31,32,Connor Barth(FA),11,16,68.8,54,1,4,0,5,1,17,17,10,57.0,5.7,0.0%
32,33,Mike Nugent(FA),11,13,84.6,55,0,3,3,4,1,15,17,8,54.0,6.8,1.0%
33,34,Jason Myers(SEA),11,15,73.3,47,0,4,2,5,0,15,17,6,53.0,8.8,22.1%
34,35,Nick Novak(FA),9,13,69.2,50,0,4,4,0,1,17,18,7,46.0,6.6,0.1%
35,36,Nick Folk(NE),6,11,54.5,50,0,2,1,2,1,7,9,4,29.0,7.3,81.8%
36,37,Travis Coons(FA),7,8,87.5,40,0,4,2,1,0,5,6,3,27.0,9.0,1.1%
37,38,Cairo Santos(CHI),4,5,80.0,39,0,0,4,0,0,14,14,5,26.0,5.2,2.1%
38,39,Younghoe Koo(ATL),3,6,50.0,41,0,2,0,1,0,9,9,4,19.0,4.8,40.9%
39,40,Caleb Sturgis(FA),3,3,100.0,50,0,0,1,1,1,1,2,1,13.0,13.0,0.0%
40,41,Sam Ficken(TEN),2,3,66.7,23,0,2,0,0,0,4,5,2,10.0,5.0,0.1%
41,42,Marshall Koehn(FA),0,0,0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%
42,43,Matt Gay(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
43,44,Chris Blewitt(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
44,45,Kasey Redfern(FA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
45,46,Austin Seibert(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
46,47,Matthew Wright(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
47,48,Michael Badgley(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9%
48,49,Joey Slye(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
49,50,Daniel Carlson(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3%
50,51,Jason Sanders(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6%
51,52,Eddy Pineiro(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
52,53,Ryan Santoso(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
53,54,Greg Joseph(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.1%
54,55,Chase McLaughlin(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1%
55,56,Evan McPherson(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2%
56,57,Riley Patterson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
57,58,Brian Johnson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
58,59,Chris Naggar(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
59,60,Quinn Nordin(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
60,61,Jose Borregales(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Alex Kessman(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
62,63,Cameron Nizialek(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Austin MacGinnis(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Rodrigo Blankenship(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1%
65,66,Jake Verity(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Tyler Bass(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8%
67,68,JJ Molson(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,Sam Sloman(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Matt Ammendola(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
70,71,Lirim Hajrullahu(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
71,72,Steven Weatherford(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
72,73,Parker Douglass(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
